"","TRP","WGCNA","Corr","P.value"
"17430","TRPV2","PTAFR",0.635567033406735,0
"17436","TRPM2","PTAFR",0.515985871355021,0
"17492","TRPV2","PTGER4",0.552092174616989,0
"17554","TRPV2","PTPN22",0.743911990701517,0
"17560","TRPM2","PTPN22",0.528046893343276,0
"17616","TRPV2","PTPN7",0.748437372327175,0
"17622","TRPM2","PTPN7",0.524298971987368,0
"17647","TRPV2","PTPRC",0.834337017158905,0
"17653","TRPM2","PTPRC",0.543103499413923,0
"17678","TRPV2","PTPRE",0.625634499977175,0
"17696","PKD2","PTPRE",0.577343858206978,0
"17709","TRPV2","PTPRO",0.538309194683521,0
"17771","TRPV2","PYHIN1",0.557359529839018,0
"17926","TRPV2","RAB8B",0.605120873099659,0
"17944","PKD2","RAB8B",0.55028862147596,0
"17957","TRPV2","RAC2",0.674477655693972,0
"18098","PKD1","RASA3",0.512732913596179,0
"18099","PKD2","RASA3",0.508915934565243,0
"18174","TRPV2","RASGRP3",0.734773315092039,0
"18192","PKD2","RASGRP3",0.547598209424956,0
"18205","TRPV2","RASSF2",0.649802968235694,0
"18223","PKD2","RASSF2",0.557208005978793,0
"18236","TRPV2","RASSF4",0.69466496320795,0
"18298","TRPV2","RENBP",0.543495399617001,0
"18304","TRPM2","RENBP",0.558771192124888,0
"18422","TRPV2","RGS1",0.567091847998949,0
"18515","TRPV2","RHOG",0.579186520657472,0
"18546","TRPV2","RHOH",0.705677693842573,0
"18639","TRPV2","RNASE2",0.591488147662829,0
"18670","TRPV2","RNASE6",0.72775613149225,0
"18676","TRPM2","RNASE6",0.539589040413537,0
"18707","TRPM2","RNF19B",0.528683938725491,0
"18794","TRPV2","RTN1",0.63023693835606,0
"18949","TRPV2","S1PR4",0.755091897797906,0
"18980","TRPV2","SAMSN1",0.7733014611106,0
"18986","TRPM2","SAMSN1",0.532919202369961,0
"19011","TRPV2","SASH3",0.848630124905351,0
"19017","TRPM2","SASH3",0.600386138846815,0
"19073","TRPV2","SCARF1",0.712699990476242,0
"19091","PKD2","SCARF1",0.520796897642933,0
"19135","TRPV2","SDCBP",0.503184291115731,0
"19166","TRPV2","SDS",0.556533830136158,0
"19259","TRPV2","SELL",0.576648394216002,0
"19290","TRPV2","SELPLG",0.821198392954829,0
"19296","TRPM2","SELPLG",0.591745435154931,0
"19352","TRPV2","SERPINA1",0.556291301282076,0
"19414","TRPV2","SERPINB8",0.510734958861147,0
"19569","TRPV2","SGPP1",0.605310290018396,0
"19600","TRPV2","SH2B3",0.798130897183988,0
"19602","TRPV4","SH2B3",0.522561197093414,0
"19606","TRPM2","SH2B3",0.547988788700572,0
"19618","PKD2","SH2B3",0.600581794718422,0
"19631","TRPV2","SH2D1A",0.628080649053703,0
"19662","TRPV2","SH2D3C",0.648168911906447,0
"19680","PKD2","SH2D3C",0.574276281592654,0
"19742","PKD2","SH3GLB1",0.507396431023558,0
"19786","TRPV2","SIGLEC1",0.760785290017731,0
"19792","TRPM2","SIGLEC1",0.609222491360397,0
"19817","TRPV2","SIGLEC7",0.809310584989616,0
